"GPT_Q1","GPT_Q2","GPT_Q3","GPT_Q4","GPT_Q5","GPT_Q6","person","rater"
2,1,2,1,1,1,290,2
3,3,3,4,2,2,290,3
3,2,3,2,2,2,291,1
1,1,1,1,1,1,291,2
3,2,3,3,2,3,291,3
3,2,3,3,2,2,292,1
1,1,2,2,1,1,292,2
3,3,4,4,3,3,292,3
2,3,3,3,2,2,293,1
1,2,1,2,1,1,293,2
3,3,4,3,2,3,293,3
3,2,3,3,2,2,294,1
2,1,1,2,1,1,294,2
3,3,4,4,3,2,294,3
3,2,3,2,2,1,295,1
2,1,2,2,1,0,295,2
3,3,3,3,2,2,295,3
2,2,3,3,2,1,296,1
1,1,2,2,1,1,296,2
3,3,4,4,3,2,296,3
2,2,3,3,1,2,297,1
1,1,2,2,0,1,297,2
3,3,4,4,2,3,297,3
3,2,3,2,1,2,298,1
2,1,2,1,0,1,298,2
3,2,4,3,1,3,298,3
3,2,3,3,2,2,299,1
2,1,2,2,1,1,299,2
3,2,4,4,3,3,299,3
3,2,3,3,2,2,300,1
2,1,2,3,1,1,300,2
3,2,4,4,2,3,300,3
3,2,3,3,2,2,301,1
2,1,2,2,1,1,301,2
3,2,4,4,2,3,301,3
3,2,3,2,2,2,302,1
2,1,2,1,1,1,302,2
4,3,4,3,3,3,302,3
3,2,3,3,2,2,303,1
2,1,2,2,1,1,303,2
4,3,4,4,3,3,303,3
3,2,3,2,2,1,304,1
2,1,2,1,1,0,304,2
4,3,4,3,3,2,304,3
3,2,3,3,2,1,305,1
1,1,1,2,1,0,305,2
3,3,4,4,3,2,305,3
2,2,3,2,2,1,306,1
1,1,2,2,1,1,306,2
3,3,3,3,3,2,306,3
3,2,3,2,2,2,307,1
2,1,2,1,1,1,307,2
3,2,3,3,2,3,307,3
2,2,3,3,2,2,308,1
1,1,2,1,1,1,308,2
3,3,4,4,3,3,308,3
2,3,2,2,2,2,309,1
1,1,1,1,1,1,309,2
3,3,3,2,3,3,309,3
3,2,3,2,2,1,310,1
2,1,2,1,1,1,310,2
3,2,4,3,2,2,310,3
2,3,3,2,2,1,311,1
1,0,2,1,1,0,311,2
3,3,4,3,3,2,311,3
3,3,3,2,2,2,312,1
2,1,2,1,1,1,312,2
3,2,4,3,2,3,312,3
3,3,2,3,2,2,313,1
2,1,1,2,1,1,313,2
4,3,3,3,3,3,313,3
3,2,3,3,2,2,314,1
2,1,2,2,1,1,314,2
4,3,4,4,2,3,314,3
3,2,3,2,2,1,315,1
2,1,1,1,1,1,315,2
4,3,4,3,2,3,315,3
2,2,3,3,2,2,316,1
1,1,2,2,0,1,316,2
3,2,4,4,1,3,316,3
3,3,3,3,2,2,317,1
2,2,2,2,1,1,317,2
4,4,4,4,3,3,317,3
2,1,2,2,0,2,318,1
1,1,0,0,0,0,318,2
3,2,3,3,0,3,318,3
2,2,3,3,2,2,319,1
1,1,2,2,1,1,319,2
3,3,4,4,3,3,319,3
3,2,3,3,2,2,320,1
1,0,1,2,1,0,320,2
4,3,4,4,2,3,320,3
3,2,3,3,2,2,321,1
1,0,2,2,1,1,321,2
4,3,3,3,2,3,321,3
2,2,3,3,2,2,322,1
1,1,2,2,0,1,322,2
3,3,4,4,2,3,322,3
3,2,3,3,2,2,323,1
2,1,2,2,0,1,323,2
3,3,4,3,2,3,323,3
2,2,3,3,2,2,324,1
1,1,2,2,1,1,324,2
3,3,4,4,3,3,324,3
3,2,3,3,2,2,325,1
2,1,2,2,1,2,325,2
4,3,4,4,3,3,325,3
2,2,3,3,1,2,326,1
1,1,2,2,0,2,326,2
3,2,4,4,1,3,326,3
3,2,3,2,2,1,327,1
2,1,2,1,1,1,327,2
3,2,4,3,2,2,327,3
3,2,3,3,2,2,328,1
2,1,2,2,1,1,328,2
3,2,3,4,2,3,328,3
2,3,3,3,2,1,329,1
1,1,2,2,1,0,329,2
3,2,4,3,2,2,329,3
3,2,3,3,2,2,330,1
2,1,2,2,1,1,330,2
4,3,4,4,3,3,330,3
3,2,3,3,2,1,331,1
1,1,2,3,1,1,331,2
3,2,4,4,3,3,331,3
3,2,3,3,2,2,332,1
2,1,2,2,1,0,332,2
4,3,4,3,2,3,332,3
3,2,3,3,2,2,333,1
2,1,2,2,1,1,333,2
4,3,4,4,3,3,333,3
3,2,3,2,2,2,334,1
2,1,1,1,1,1,334,2
3,2,4,3,1,3,334,3
3,2,3,2,2,2,335,1
2,1,2,1,1,1,335,2
4,3,4,3,2,3,335,3
2,2,3,3,2,2,336,1
1,1,2,2,1,1,336,2
3,3,4,4,3,3,336,3
3,2,3,3,1,2,337,1
2,1,1,2,0,1,337,2
3,3,4,4,2,3,337,3
3,2,3,2,2,1,338,1
2,1,2,1,1,1,338,2
3,3,4,3,2,2,338,3
2,3,3,2,1,2,339,1
1,1,1,1,0,0,339,2
3,2,3,3,2,3,339,3
2,2,3,3,2,2,340,1
1,1,2,2,1,1,340,2
3,3,4,4,3,3,340,3
2,2,3,3,2,2,341,1
1,1,2,2,1,1,341,2
3,3,3,4,3,3,341,3
3,3,3,2,2,2,342,1
2,1,2,2,1,1,342,2
3,3,4,3,2,3,342,3
2,3,3,3,1,2,343,1
1,1,1,2,0,0,343,2
3,3,4,4,2,3,343,3
3,2,3,2,1,2,344,1
2,1,2,1,0,1,344,2
4,3,4,3,2,3,344,3
3,2,2,3,3,2,345,1
1,1,1,2,2,1,345,2
3,3,4,4,3,3,345,3
2,2,3,2,2,2,346,1
1,1,2,1,1,1,346,2
3,3,3,3,2,3,346,3
3,2,3,2,2,2,347,1
2,1,2,1,1,1,347,2
4,3,3,3,3,3,347,3
3,2,3,3,2,1,348,1
2,1,2,2,0,1,348,2
4,3,4,3,2,2,348,3
3,2,3,3,2,2,349,1
2,1,2,2,1,1,349,2
3,2,4,4,2,3,349,3
3,2,3,3,2,2,350,1
1,1,2,2,1,1,350,2
4,3,4,4,3,3,350,3
3,2,3,3,2,2,351,1
2,1,2,2,1,1,351,2
4,3,4,4,3,3,351,3
2,2,3,3,2,2,352,1
1,1,2,2,1,1,352,2
3,2,4,4,3,3,352,3
3,2,3,2,2,2,353,1
2,1,2,1,1,1,353,2
3,3,4,3,3,3,353,3
3,2,3,3,2,2,354,1
2,1,2,2,1,1,354,2
4,3,4,4,2,3,354,3
3,2,3,2,1,2,355,1
2,1,2,1,0,1,355,2
4,3,4,3,2,3,355,3
3,1,3,2,1,2,356,1
2,1,2,1,1,1,356,2
4,3,4,3,2,3,356,3
2,3,3,3,2,2,357,1
1,2,2,2,1,1,357,2
3,3,4,4,2,3,357,3
3,2,3,2,2,2,358,1
2,2,2,1,1,1,358,2
3,2,4,3,2,3,358,3
3,3,2,2,2,1,359,1
2,2,1,1,1,1,359,2
4,3,3,3,3,2,359,3
3,2,3,2,2,2,360,1
2,1,2,1,1,1,360,2
4,3,4,3,2,3,360,3
3,2,3,2,2,2,361,1
2,1,2,1,1,1,361,2
4,3,4,3,3,3,361,3
3,2,3,2,2,1,362,1
1,1,2,1,1,1,362,2
4,3,4,3,3,3,362,3
3,2,3,3,2,2,363,1
2,1,2,2,1,2,363,2
4,3,3,4,2,3,363,3
2,2,3,3,2,2,364,1
1,1,2,2,1,1,364,2
3,2,3,4,3,3,364,3
3,2,3,2,2,2,365,1
2,1,2,2,1,1,365,2
4,3,4,3,3,3,365,3
3,2,3,3,2,2,366,1
2,1,1,2,1,1,366,2
4,3,4,4,2,3,366,3
3,2,3,2,3,2,367,1
2,1,2,1,1,1,367,2
4,3,4,3,3,4,367,3
2,2,3,3,2,2,368,1
1,1,2,2,1,1,368,2
3,2,4,4,2,3,368,3
3,2,2,3,2,2,369,1
2,1,1,2,1,1,369,2
3,3,3,4,3,3,369,3
3,2,3,3,2,2,370,1
2,1,2,2,1,1,370,2
4,3,4,4,2,3,370,3
3,2,3,2,2,2,371,1
2,1,2,1,1,1,371,2
4,3,4,3,3,3,371,3
2,1,2,2,0,2,372,1
1,1,1,1,0,1,372,2
3,2,3,3,1,2,372,3
3,2,3,3,2,2,373,1
1,0,2,2,1,1,373,2
4,3,4,4,2,3,373,3
3,2,3,2,2,2,374,1
1,1,2,1,1,1,374,2
4,3,4,3,3,3,374,3
3,2,2,3,2,1,375,1
2,1,1,2,1,1,375,2
4,3,3,4,3,3,375,3
2,2,3,3,2,2,376,1
1,1,1,2,1,1,376,2
3,3,4,4,3,3,376,3
2,2,3,3,2,1,377,1
1,1,2,2,1,1,377,2
3,3,4,4,3,3,377,3
3,2,3,3,2,1,378,1
2,1,2,2,1,1,378,2
4,3,4,4,3,2,378,3
3,2,3,2,1,1,379,1
2,1,2,1,1,1,379,2
4,3,4,3,2,2,379,3
3,2,2,2,2,2,380,1
2,1,1,2,1,1,380,2
3,3,3,3,2,3,380,3
3,2,3,2,2,2,381,1
2,1,2,1,1,1,381,2
4,3,3,3,2,3,381,3
3,2,3,3,2,2,382,1
2,1,2,2,1,1,382,2
3,3,3,4,1,3,382,3
2,2,3,3,2,2,383,1
1,1,2,2,1,1,383,2
3,3,4,4,3,3,383,3
2,1,3,3,2,2,384,1
1,1,2,3,1,1,384,2
3,3,4,4,3,3,384,3
2,2,3,3,2,2,385,1
0,1,2,2,1,0,385,2
3,3,4,4,3,3,385,3
3,2,3,2,3,2,386,1
2,1,2,1,2,1,386,2
4,3,4,3,3,3,386,3
3,2,3,2,2,2,387,1
2,1,2,2,1,1,387,2
4,3,4,3,3,3,387,3
2,3,3,2,2,2,388,1
2,1,2,2,1,1,388,2
3,3,3,3,2,3,388,3
2,2,3,3,2,2,389,1
1,1,2,2,1,1,389,2
3,3,4,4,3,3,389,3
2,2,3,3,2,2,390,1
1,1,2,2,1,1,390,2
3,3,4,4,2,3,390,3
3,2,3,3,2,1,391,1
1,0,1,2,0,0,391,2
4,3,4,4,3,2,391,3
2,2,3,3,2,2,392,1
1,1,2,2,1,2,392,2
3,3,4,4,3,3,392,3
3,2,3,2,2,2,393,1
2,1,1,1,2,1,393,2
4,3,4,3,2,3,393,3
3,2,3,2,2,2,394,1
2,1,2,1,1,1,394,2
3,3,4,3,2,3,394,3
3,2,3,2,2,2,395,1
2,1,2,0,1,1,395,2
3,3,4,3,3,3,395,3
3,2,3,2,2,2,396,1
1,1,2,2,1,1,396,2
4,3,4,3,3,3,396,3
3,3,3,2,2,2,397,1
2,1,2,1,1,1,397,2
4,3,4,3,2,3,397,3
2,3,3,2,2,2,398,1
1,2,1,1,1,0,398,2
3,3,3,3,3,3,398,3
3,2,3,2,2,2,399,1
2,1,2,1,1,1,399,2
4,3,3,4,2,3,399,3
2,2,3,3,1,2,400,1
1,1,2,2,0,1,400,2
3,2,3,3,1,3,400,3
3,2,3,3,2,2,401,1
2,1,2,2,1,1,401,2
4,3,4,4,2,3,401,3
2,2,2,2,2,2,402,1
1,1,2,2,0,1,402,2
3,2,3,3,3,3,402,3
2,2,3,2,2,2,403,1
1,1,2,2,1,1,403,2
3,2,4,3,2,3,403,3
3,2,3,2,2,2,404,1
2,1,1,1,1,1,404,2
4,3,3,3,2,3,404,3
3,3,3,3,2,2,405,1
2,1,2,2,1,1,405,2
4,3,3,4,2,3,405,3
3,2,3,2,2,2,406,1
2,1,2,1,1,1,406,2
4,3,4,3,3,3,406,3
3,2,3,3,2,2,407,1
2,1,2,2,1,1,407,2
4,3,4,4,3,3,407,3
3,2,3,3,1,2,408,1
2,1,2,2,0,1,408,2
4,3,4,4,2,3,408,3
3,2,2,3,1,2,409,1
2,1,1,2,0,1,409,2
3,2,3,3,2,3,409,3
3,2,3,2,2,2,410,1
2,1,2,1,1,1,410,2
4,3,4,3,3,3,410,3
3,2,3,3,2,1,411,1
2,1,2,2,1,1,411,2
3,2,4,4,3,2,411,3
3,2,3,3,2,2,412,1
2,1,2,2,1,1,412,2
3,2,4,4,2,3,412,3
3,2,3,3,1,2,413,1
2,1,2,2,0,1,413,2
4,3,4,4,2,3,413,3
3,2,3,3,2,2,414,1
2,1,2,2,1,1,414,2
3,3,4,4,3,3,414,3
3,2,3,3,2,2,415,1
2,1,2,3,1,2,415,2
3,2,4,4,2,3,415,3
3,2,3,2,1,2,416,1
2,1,2,1,0,0,416,2
4,3,4,3,2,2,416,3
2,3,3,3,2,1,417,1
1,1,2,2,0,1,417,2
3,3,4,4,2,3,417,3
3,2,3,3,2,2,418,1
2,1,2,3,1,1,418,2
4,3,4,4,2,3,418,3
3,2,2,3,2,2,419,1
2,1,1,2,1,1,419,2
3,3,3,3,3,3,419,3
3,2,3,3,2,2,420,1
2,1,2,2,1,1,420,2
4,3,4,4,3,3,420,3
3,3,3,3,2,2,421,1
2,2,2,2,1,1,421,2
4,4,4,4,2,3,421,3
3,2,3,3,2,2,422,1
2,1,2,2,1,1,422,2
4,3,4,4,2,3,422,3
2,2,3,3,2,2,423,1
1,1,2,2,1,2,423,2
3,3,4,4,3,3,423,3
3,2,3,2,1,2,424,1
2,1,2,2,0,1,424,2
4,3,4,3,2,3,424,3
3,2,3,2,2,2,425,1
2,1,2,1,1,1,425,2
4,3,4,3,3,3,425,3
3,2,3,3,2,2,426,1
2,1,2,2,0,0,426,2
4,3,4,4,2,3,426,3
3,2,3,2,3,2,427,1
2,1,2,1,2,1,427,2
3,3,3,3,3,3,427,3
3,2,3,3,2,2,428,1
2,1,2,2,1,1,428,2
4,3,4,4,2,3,428,3
3,2,3,3,2,2,429,1
2,1,2,2,1,1,429,2
3,2,3,3,2,3,429,3
3,2,3,3,2,2,430,1
2,1,2,3,1,1,430,2
4,3,4,4,2,3,430,3
2,2,3,3,2,2,431,1
1,1,2,2,1,1,431,2
3,3,4,4,3,3,431,3
3,3,3,3,2,2,432,1
2,2,2,2,1,1,432,2
4,4,4,4,2,3,432,3
3,2,3,2,2,2,433,1
1,1,2,1,0,1,433,2
3,2,4,3,2,3,433,3
3,2,3,2,2,2,434,1
2,1,2,1,1,1,434,2
4,3,4,3,2,3,434,3
2,2,3,3,2,2,435,1
1,1,2,1,1,1,435,2
3,3,4,4,3,3,435,3
3,2,3,3,2,2,436,1
2,1,2,2,1,1,436,2
4,3,4,4,2,3,436,3
3,3,3,3,2,2,437,1
2,2,2,2,1,1,437,2
4,4,4,4,3,3,437,3
3,2,3,2,2,2,438,1
1,0,1,2,1,1,438,2
4,3,3,3,2,3,438,3
3,2,2,3,2,2,439,1
2,1,1,2,1,1,439,2
4,3,3,3,2,3,439,3
3,2,3,2,2,2,440,1
2,1,2,1,1,1,440,2
3,3,3,3,2,3,440,3
3,2,4,3,2,2,441,1
2,1,3,3,1,1,441,2
4,3,4,4,3,3,441,3
3,2,3,3,2,2,442,1
2,1,2,2,1,1,442,2
4,3,4,4,3,3,442,3
3,2,3,3,2,2,443,1
2,1,2,2,1,2,443,2
4,3,4,4,2,3,443,3
3,2,3,3,1,2,444,1
2,1,2,2,0,1,444,2
4,3,4,4,2,3,444,3
3,3,3,3,2,2,445,1
2,2,2,2,1,1,445,2
4,4,4,4,2,3,445,3
3,2,3,3,2,2,446,1
2,1,2,2,1,1,446,2
3,2,4,4,2,3,446,3
2,2,3,3,2,2,447,1
1,1,2,2,1,1,447,2
3,3,4,4,2,3,447,3
3,2,3,3,2,2,448,1
2,1,2,2,1,1,448,2
4,3,4,4,3,3,448,3
2,2,3,3,2,2,449,1
1,1,2,2,1,1,449,2
3,3,4,4,3,3,449,3
3,2,4,3,2,2,450,1
2,1,3,2,1,1,450,2
4,3,4,4,2,3,450,3
3,2,3,3,2,2,451,1
2,1,2,2,1,1,451,2
4,3,4,4,2,3,451,3
3,2,3,3,2,1,452,1
2,1,2,2,1,0,452,2
4,3,4,4,3,1,452,3
3,2,3,2,2,2,453,1
2,1,2,1,1,0,453,2
4,3,4,3,3,3,453,3
3,3,3,3,2,2,454,1
2,1,2,2,1,1,454,2
3,3,4,4,2,3,454,3
3,2,3,3,2,2,455,1
2,1,1,2,1,1,455,2
3,2,4,4,2,3,455,3
3,2,3,2,2,2,456,1
2,1,2,2,1,1,456,2
3,3,4,3,2,3,456,3
2,2,3,2,2,2,457,1
1,1,2,1,1,1,457,2
3,2,4,3,3,2,457,3
2,3,3,2,1,2,458,1
1,2,2,1,0,1,458,2
3,3,4,3,2,3,458,3
3,2,3,3,2,1,459,1
2,1,2,2,1,1,459,2
4,3,4,4,3,2,459,3
3,3,3,3,2,2,460,1
2,1,2,2,1,1,460,2
4,3,4,4,3,3,460,3
3,2,3,3,2,2,461,1
2,1,2,2,1,1,461,2
4,3,4,4,3,3,461,3
3,2,3,3,2,2,462,1
1,0,1,2,0,1,462,2
4,3,4,3,2,3,462,3
2,3,3,3,2,1,463,1
1,2,2,2,1,0,463,2
3,2,4,4,3,2,463,3
3,2,3,2,1,2,464,1
2,1,2,1,0,1,464,2
4,3,4,3,2,3,464,3
3,3,3,3,2,2,465,1
2,2,2,3,1,1,465,2
4,3,4,4,2,3,465,3
3,2,3,3,2,1,466,1
2,1,2,2,1,1,466,2
3,3,4,4,2,3,466,3
3,3,3,3,2,2,467,1
2,1,2,3,1,1,467,2
3,2,4,4,2,2,467,3
3,2,3,3,2,1,468,1
2,1,2,2,1,1,468,2
3,3,4,4,2,3,468,3
3,2,3,2,2,1,469,1
2,1,2,2,1,1,469,2
3,2,4,3,3,2,469,3
3,2,3,3,2,2,470,1
2,1,2,2,1,1,470,2
4,3,4,4,2,3,470,3
3,2,3,3,2,2,471,1
1,1,2,2,1,1,471,2
4,3,4,4,3,3,471,3
3,2,3,2,2,1,472,1
2,0,2,1,1,1,472,2
3,2,3,3,2,2,472,3
3,3,3,3,2,2,473,1
2,2,2,2,1,1,473,2
4,3,4,4,3,3,473,3
3,3,3,3,2,2,474,1
1,1,2,2,1,1,474,2
3,3,3,3,3,3,474,3
3,2,3,2,1,2,475,1
2,1,2,2,0,1,475,2
3,2,4,3,1,3,475,3
3,2,3,2,2,2,476,1
2,1,2,1,1,1,476,2
4,3,4,3,3,3,476,3
3,2,3,3,2,2,477,1
2,1,2,2,1,1,477,2
3,2,3,3,2,3,477,3
2,2,3,2,2,2,478,1
1,1,2,1,1,1,478,2
3,2,3,3,1,3,478,3
3,2,3,3,2,1,479,1
2,1,2,2,1,0,479,2
4,3,4,4,2,3,479,3
3,3,3,3,2,1,480,1
2,2,2,2,1,0,480,2
4,4,4,4,3,2,480,3
3,2,3,3,2,2,481,1
2,1,2,2,1,1,481,2
4,3,4,4,3,3,481,3
3,2,3,3,1,2,482,1
2,1,2,2,0,1,482,2
4,3,4,4,2,3,482,3
3,2,3,3,2,2,483,1
2,1,2,3,1,1,483,2
3,2,4,4,2,3,483,3
3,2,3,2,2,1,484,1
2,1,2,1,1,0,484,2
3,2,4,3,2,2,484,3
3,2,3,2,2,1,485,1
2,1,2,1,1,1,485,2
4,3,4,3,3,2,485,3
3,2,3,3,2,2,486,1
2,1,2,2,1,2,486,2
4,3,4,4,3,3,486,3
3,2,3,3,2,2,487,1
2,1,2,2,1,2,487,2
4,3,4,4,3,3,487,3
3,2,3,2,2,2,488,1
2,1,2,1,1,1,488,2
3,3,3,3,2,3,488,3
3,2,3,2,2,2,489,1
2,1,2,1,1,1,489,2
3,3,4,3,2,3,489,3
3,2,3,3,2,2,490,1
2,1,2,2,1,1,490,2
3,2,4,3,2,3,490,3
2,2,3,3,1,2,491,1
1,1,2,2,0,1,491,2
3,3,4,4,2,3,491,3
3,2,3,3,2,2,492,1
1,1,1,2,1,1,492,2
3,3,4,4,2,3,492,3
3,2,3,3,2,2,493,1
2,1,2,2,1,1,493,2
4,3,4,4,3,3,493,3
3,2,3,3,2,2,494,1
2,1,2,2,1,1,494,2
4,3,4,4,3,3,494,3
2,2,3,3,2,2,495,1
1,1,2,2,1,1,495,2
3,3,4,4,3,3,495,3
3,2,3,2,2,1,496,1
2,1,2,1,1,0,496,2
4,3,4,3,3,2,496,3
3,2,3,3,2,1,497,1
2,1,2,2,1,1,497,2
4,3,4,4,3,3,497,3
2,3,3,2,2,2,498,1
2,1,2,2,1,1,498,2
3,3,4,4,3,3,498,3
3,2,3,3,2,2,499,1
2,1,2,3,1,1,499,2
3,2,4,4,2,3,499,3
3,2,3,3,2,1,500,1
2,1,2,3,1,0,500,2
3,2,4,4,3,2,500,3
3,2,3,3,2,2,501,1
2,1,2,2,1,1,501,2
4,3,4,4,3,3,501,3
3,2,2,3,2,2,502,1
2,1,1,2,1,1,502,2
4,3,3,4,3,3,502,3
3,3,3,2,2,2,503,1
2,1,2,1,0,1,503,2
4,4,4,3,2,3,503,3
3,2,3,3,2,2,504,1
2,1,2,2,1,1,504,2
4,3,4,4,3,3,504,3
3,3,3,2,2,2,505,1
2,1,2,1,1,2,505,2
4,3,4,3,3,3,505,3
3,2,3,3,2,1,506,1
2,1,2,2,1,1,506,2
3,2,4,4,2,3,506,3
3,2,3,3,2,2,507,1
2,1,2,2,0,1,507,2
4,3,4,4,3,3,507,3
3,2,3,2,2,2,508,1
2,1,2,1,1,1,508,2
4,3,4,3,2,3,508,3
3,2,3,2,2,1,509,1
2,1,2,2,1,1,509,2
4,3,4,3,2,3,509,3
3,2,3,2,1,2,510,1
2,1,1,1,0,1,510,2
3,3,3,3,2,3,510,3
3,2,3,2,2,2,511,1
2,1,2,1,1,1,511,2
4,3,4,3,3,3,511,3
3,2,3,3,2,2,512,1
1,1,2,2,1,1,512,2
4,3,4,4,2,3,512,3
3,2,3,2,2,2,513,1
2,1,2,1,1,1,513,2
4,3,4,3,2,3,513,3
3,2,3,3,1,2,514,1
2,1,2,2,0,1,514,2
4,3,4,4,2,3,514,3
3,2,3,3,1,2,515,1
2,1,2,2,0,2,515,2
4,3,4,4,2,3,515,3
3,2,3,3,2,2,516,1
2,1,2,2,1,1,516,2
3,2,4,4,2,3,516,3
3,2,3,2,2,2,517,1
2,1,2,1,1,1,517,2
4,3,4,3,3,3,517,3
3,3,3,3,2,2,518,1
2,2,2,2,1,1,518,2
4,3,4,4,3,3,518,3
3,2,3,3,2,2,519,1
2,1,2,2,1,1,519,2
4,3,4,4,2,3,519,3
3,2,3,2,2,2,520,1
2,1,1,1,1,1,520,2
3,2,3,3,2,3,520,3
3,3,3,2,2,2,521,1
2,2,1,1,1,2,521,2
4,3,3,3,3,3,521,3
3,2,3,2,2,1,522,1
2,1,1,1,1,0,522,2
3,3,3,3,3,2,522,3
3,2,3,3,2,2,523,1
2,1,2,2,1,2,523,2
4,3,4,4,2,3,523,3
3,3,3,2,2,2,524,1
2,1,2,1,1,1,524,2
4,3,4,3,2,3,524,3
3,3,3,3,2,2,525,1
2,2,2,2,1,1,525,2
3,3,4,4,2,3,525,3
2,2,3,3,2,2,526,1
1,0,2,2,0,1,526,2
3,2,4,4,2,3,526,3
3,2,3,3,2,2,527,1
2,1,2,3,1,2,527,2
3,2,4,4,3,3,527,3
2,2,3,3,2,2,528,1
1,1,2,2,1,1,528,2
3,3,4,4,3,3,528,3
3,2,3,3,1,2,529,1
2,1,2,2,0,1,529,2
4,3,4,4,2,3,529,3
3,2,3,3,2,2,530,1
2,1,2,2,1,1,530,2
4,3,4,4,3,3,530,3
3,2,3,3,2,2,531,1
2,1,2,2,1,1,531,2
3,2,4,4,3,3,531,3
3,2,3,2,2,2,532,1
1,1,2,2,1,1,532,2
3,2,3,3,3,3,532,3
2,3,3,3,2,2,533,1
1,2,2,3,1,1,533,2
3,3,4,4,1,3,533,3
3,2,3,2,2,2,534,1
2,1,2,1,1,1,534,2
4,3,4,3,3,3,534,3
3,2,3,2,2,2,535,1
2,1,2,2,1,1,535,2
3,2,3,3,3,3,535,3
3,2,3,2,2,1,536,1
2,1,2,1,1,1,536,2
3,2,4,3,2,3,536,3
3,2,3,3,2,2,537,1
2,1,2,3,1,1,537,2
3,2,4,4,2,3,537,3
3,2,3,3,1,2,538,1
2,1,2,2,0,1,538,2
4,3,4,4,2,3,538,3
3,3,4,3,2,2,539,1
2,1,3,2,1,1,539,2
4,3,4,4,2,3,539,3
2,3,3,2,2,2,540,1
1,2,2,2,1,1,540,2
3,3,3,3,3,3,540,3
3,3,3,3,2,2,541,1
2,1,2,2,1,1,541,2
4,4,4,4,3,3,541,3
3,2,2,3,1,2,542,1
2,1,1,2,0,1,542,2
3,3,4,3,2,3,542,3
3,2,3,3,2,2,543,1
2,1,2,2,1,1,543,2
4,3,4,4,3,3,543,3
3,2,3,2,2,2,544,1
2,1,2,1,1,2,544,2
4,3,4,3,2,3,544,3
3,2,3,2,2,2,545,1
2,1,2,1,1,1,545,2
4,3,4,3,3,3,545,3
3,3,3,3,2,2,546,1
2,2,2,2,1,1,546,2
4,4,4,4,3,3,546,3
3,3,4,3,2,2,547,1
2,1,2,1,1,1,547,2
4,3,4,4,3,3,547,3
3,2,3,3,2,1,548,1
2,1,2,3,1,1,548,2
4,3,4,4,2,3,548,3
3,2,3,2,2,2,549,1
2,1,2,1,1,1,549,2
4,3,4,3,2,3,549,3
3,3,3,2,2,2,550,1
2,2,2,1,1,1,550,2
4,4,3,3,2,3,550,3
3,2,3,3,2,2,551,1
2,1,2,2,1,1,551,2
4,3,4,4,3,3,551,3
3,2,3,3,2,2,552,1
2,1,2,2,1,1,552,2
4,3,4,4,2,3,552,3
2,2,3,3,2,2,553,1
1,1,1,2,1,1,553,2
3,2,4,4,2,3,553,3
3,2,3,3,2,1,554,1
2,1,2,2,1,1,554,2
3,3,4,4,3,2,554,3
3,2,3,2,1,2,555,1
2,1,2,1,0,1,555,2
4,3,4,3,2,3,555,3
3,2,3,3,2,2,556,1
2,1,2,2,1,1,556,2
4,3,4,3,2,3,556,3
3,2,3,3,2,2,557,1
2,1,2,3,1,2,557,2
3,2,4,4,3,3,557,3
3,2,3,3,2,2,558,1
2,1,2,2,1,1,558,2
4,3,4,4,3,3,558,3
2,2,3,3,2,2,559,1
1,1,2,2,1,1,559,2
3,3,4,4,3,3,559,3
3,2,3,2,2,2,560,1
2,1,2,2,1,1,560,2
4,3,4,3,2,3,560,3
3,2,3,3,2,2,561,1
2,1,2,3,1,1,561,2
4,3,4,4,3,3,561,3
3,2,3,3,1,2,562,1
2,1,2,3,0,1,562,2
4,3,4,4,2,3,562,3
3,2,3,3,2,1,563,1
2,1,2,3,1,1,563,2
4,3,4,4,3,2,563,3
3,2,3,2,3,2,564,1
2,1,2,2,1,1,564,2
3,3,4,4,2,3,564,3
3,3,3,2,2,2,565,1
2,2,2,1,1,1,565,2
3,3,4,4,2,3,565,3
3,2,3,3,2,2,566,1
2,1,2,2,1,2,566,2
4,3,4,4,3,3,566,3
2,2,3,3,1,2,567,1
1,1,2,2,1,1,567,2
3,2,3,3,1,3,567,3
3,2,3,3,2,2,568,1
1,1,2,2,1,1,568,2
4,3,4,4,3,3,568,3
3,3,3,3,2,2,569,1
2,2,2,2,1,1,569,2
3,3,4,4,3,3,569,3
3,2,3,2,2,1,570,1
2,1,2,1,1,0,570,2
4,3,4,3,3,2,570,3
3,2,3,2,3,2,571,1
2,1,2,1,2,1,571,2
3,2,4,3,3,3,571,3
3,2,3,2,1,2,572,1
2,1,2,1,0,1,572,2
4,3,4,3,2,3,572,3
3,2,3,3,2,2,573,1
2,1,2,2,1,1,573,2
3,2,3,3,2,3,573,3
3,2,3,3,2,2,574,1
1,1,1,2,1,1,574,2
4,3,3,4,3,3,574,3
3,2,3,2,2,2,575,1
2,1,1,2,1,1,575,2
4,3,4,3,3,3,575,3
3,2,3,2,2,1,576,1
2,1,2,1,1,1,576,2
4,3,4,3,3,2,576,3
3,2,3,2,2,2,577,1
2,1,2,2,1,1,577,2
4,3,4,3,3,3,577,3
3,2,3,3,2,2,578,1
2,1,2,2,1,1,578,2
3,3,4,4,3,3,578,3
3,2,3,3,2,2,579,1
2,1,2,2,1,1,579,2
4,3,4,4,3,3,579,3
3,2,3,3,2,2,580,1
2,1,2,2,1,1,580,2
