q1p,q2p,q3p,q4p,q5p,q6p,q7p,q8p,q9p,q10p,q11p,q12p,q13p,q14p,q15p,q17p,q18p,q19p,q20p,ID,true_theta,theta_hat,tru_th_percentile,age,gender,location,hobby,poss_future_degree,E,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC1a,SC9a,SC1d,SC7d,SC4d,SC3d,Ec,SC8b,Eb,SC4c,SC4b,SC6d,SC5a,SC2b,SC7c,SC5d,SC8a,SC6a,SC5b,SC7a,SC9d,SC3b,SC3a,SC6b,SC9c,SC5c,SC9b,SC2c,SC8c,SC3c,SC7b,Ed,SC1c,SC2a,SC8d,SC4a,Ea,SC1b,SC6c,SC2d,SC10b,SC10a,SC12b,SC11d,SC10d,SC10c,SC11a,SC12c,SC11c,SC11b,SC12d,SC12a
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1615,0.0662058559150752,-1.07078812349621,53,16,male,California,kitesurfing,Kinesiology and Physical Therapy,"The saddest experience I have had happened last summer when my best friend Jake moved away. We grew up together in California, spending countless weekends kitesurfing and soaking up the sun. I was excited for him when he told me his family was relocating, but inside I felt this emptiness growing. The day he left, I remember standing on the beach, staring out at the waves we used to ride together. Everything felt different without him. It hit me that our adventures, our late-night talks, and our laughter would be just memories now. I tried to stay positive and focus on my kitesurfing, but his absence still lingers. It’s a reminder that sometimes change brings sadness, even when it’s meant to be good.","In the past week, I kitesurfed with friends, enjoyed the sun, and felt balanced overall.",My parents don’t know that I kitesurf almost every weekend,Is pretty good.,Feel the wind call my name.,I actually love kitesurfing a lot.,Loves outdoor adventures.,dream about my next kitesurfing session.,Practice kitesurfing every weekend with friends.,Go kitesurfing this weekend.,Improved a bit.,Slice,"Kitesurf at the beach, relaxing.",1,1,2,1,3.0,2,3,1,2,3,2,2,2,1,3,1,2,3,1,2,2,1,3,1,3,3,1,3,3,3,1,3,3,1,1,3,3,1,3,2.0,2,3,1,2,2,3,3,3,3,1,2.0,3
1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1616,0.0668797993023841,0.28042776039367,53,15,female,Georgia,baking,Kinesiology and Physical Therapy,"The saddest experience I have had happened last summer, just a few weeks before I turned 15. My beloved dog, Bella, passed away unexpectedly. She had been my companion since I was five, always by my side as I baked cookies or attempted new recipes. The kitchen felt so empty without her wagging tail and gentle presence, waiting for crumbs to fall.

The day she got sick was surreal. I remember sitting on the kitchen floor, the flour dust floating in the air, while my mom rushed her to the vet. I kept hoping she would come back home. When we received the call that she didn’t make it, I felt a heaviness in my heart that I couldn’t shake off. It was like losing a part of myself.

Even though I tried to stay busy with school and baking, there was a shadow of sadness that would creep up on me. I missed our walks in the park and the way she always cheered me up after a tough day. It was a hard lesson in love and loss, one that made me appreciate every moment I have with those I love, including my family and the friends who always support me.","In the past week, I baked cookies for friends.",My parents don't know that I bake secretly.,is pretty bright.,Dream about my future and sweet adventures.,I actually enjoy baking on rainy days.,My family supports my dreams and enjoys baking together. ,bake cookies for my friends.,Start baking more healthy snacks for friends.,Focus on my passions and health.,Improved.,Slice cake,Bake some cookies.,2,3,2,1,1.0,1,3,1,2,3,1,2,3,1,3,2,3,3,1,3,2,1,2,1,3,3,1,3,3,3,1,3,3,3,2,1,3,1,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,3
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1617,0.0669244594446956,0.0467392671209012,53,15,male,Utah,fossil hunting,Economics,"The saddest experience I have had happened last summer when I lost my favorite fossil that I had been hunting for weeks. It was a rare trilobite, and I was so proud of my find. One day, while showing it off to my friends at the park, I accidentally dropped it. It rolled away, and despite searching for hours, I couldn’t find it. The feeling of disappointment was overwhelming; it felt like I had lost a part of myself. Even now, when I think about it, that day reminds me that sometimes even our happiest moments can end in sadness.",went fossil hunting with my friends.,My parents don't know that I fossil-hunt secretly.,Feels balanced.,"look out at the mountains, dreaming of adventures and searching for fossils hidden below.",I actually prefer exploring fossils over sitting in a classroom.,Always supports my hobbies.,dream,Go fossil hunting with my friends.,Stay focused.,Improved slightly.,Excite,Search for fossils and explore new sites.,2,3,2,2,1.0,2,3,1,2,3,1,1,3,1,3,2,2,3,1,3,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,2,2,1,2,2,3,4,3,3,1,2.0,3
0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1618,0.067844761276829,0.108848174166163,53,15,female,Nevada,kitesurfing,Legal Studies,"The saddest experience I have had was the day my best friend, Mia, moved away. We had been inseparable since elementary school, sharing everything from our love for kitesurfing to our dreams about the future. Every weekend was filled with laughter, beach days, and the thrill of riding the waves together. I still remember that one perfect day at Lake Mead, where the wind was just right, and we spent hours racing each other, feeling the sun on our faces. 

When I found out Mia’s family had to relocate to Texas, I felt my heart sink. On the day she left, I stood in the driveway, holding back tears as she packed her belongings in the car. We hugged tightly, promising to stay in touch, but I could already feel the distance creeping in. 

After she moved, everything felt different. I missed her companionship and our spontaneous kiteboarding trips. I tried to stay positive, but some days were tougher than others; without Mia by my side, I felt a void that was hard to fill. 

Over time, I learned to channel my sadness into my passions. I spent more time kitesurfing, using it as my escape. Although I still miss Mia, I know that the memories we created together will always hold a special place in my heart. It taught me the importance of cherishing relationships, even when life forces us apart. ",kitesurf,...kite surf secretly.,Content.,Dream of kitesurfing through waves.,I actually enjoy kitesurfing,"Loves kitesurfing together, always","At night, I often dream of kitesurfing.",Practice kitesurfing every weekend.,I should practice kitesurfing more during weekends.,Has been good.,Slice my sandwich.,Kitesurf,3,3,2,2,1.0,2,3,1,2,3,1,1,3,1,3,2,3,3,1,3,2,1,4,1,3,3,1,3,3,3,1,3,3,3,1,2,3,1,3,2.0,1,2,1,2,2,3,3,3,3,1,2.0,3
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1620,0.0753540233887614,-0.19232662160278,54,14,female,Idaho,kayaking,Engineering,"The saddest experience I have had was saying goodbye to my best friend when she moved away. We had shared countless adventures kayaking together, and I felt an ache in my heart that I can't forget.",went kayaking with friends.,My parents don't know that I kayak secretly.,Is usually pretty good.,"Dream of kayaking, feeling the sun on my skin.",I actually feel adventurous.,always supports me.,dream of kayaking.,Join a kayaking club and make friends.,Explore.,Improved quite a bit. ,Slice through tough vegetables.,Go kayaking again.,2,3,2,2,1.0,2,3,1,2,3,1,1,3,1,3,1,2,3,1,2,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,2,3,1,3,2.0,1,1,1,2,1,3,3,3,3,1,2.0,3
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1621,0.0768204344189799,-0.016766260632808,54,16,female,Pennsylvania,vehicle restoration,Business and Management,"The saddest experience I have had was when I had to say goodbye to my first car, a rusty old Mustang that I had spent countless hours restoring with my dad. I still remember the day we drove it home, its faded red paint and squeaky brakes. It became our weekend project, and with every adjustment and new part, I felt more connected to my dad. 

As I started learning more about vehicle restoration, I also realized how special this car was to me. It represented not just my love for cars, but the precious time I spent with my dad, laughing and sharing stories in the garage. 

But one rainy afternoon, a deer ran into the road. I swerved but couldn’t avoid it completely. The damage was extensive, and the insurance company deemed it a total loss. I remember sitting in the driveway, tears streaming down my face as I watched it being towed away. Losing that car felt like losing a piece of my heart, and part of my childhood faded with it.",restored an old truck engine.,My parents don't know that I restore classic cars.,Is pretty upbeat overall.,Dream about classic cars.,restore.,is supportive.,work on projects.,Restore vehicles.,I should work on my car restoration projects.,Improved,Slice through challenges.,Restore trucks.,3,2,1,2,2.0,1,3,2,2,3,1,1,4,1,3,2,3,3,1,3,2,1,2,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,1,1,1,1,1,3,4,3,3,1,2.0,3
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1622,0.0770925087379364,-0.113010158154073,54,16,male,Texas,cycling,Business and Management,Goodbye.,cycled.,I sometimes skip class.,"On most days, my mood is pretty upbeat.","See my bike parked, ready for the ride.",Cycling.,Supports me.,ride,"Recently, I plan to ride my bike more.",Practice cycling.,Improved slightly.,Slice,Ride my bike daily.,4,3,2,2,1.0,1,3,1,5,3,1,1,3,2,3,2,3,3,1,3,2,1,2,1,3,3,1,3,3,3,1,5,3,3,2,2,5,1,3,2.0,2,2,1,2,2,3,3,3,3,1,2.0,3
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1623,0.0775682371734094,-0.110000262801841,54,15,female,New York,dog walking,Finance and Accounting,Goodbye.,laughed.,plan my future.,Content.,Dream of my future and adventures.,I actually enjoy dog walking after school.,Everything.,Text my friends.,"Recently, I plan to volunteer at animal shelters and walk dogs.",Stay focused.,Has been good.,Slice bagels,Walk more dogs.,3,3,2,2,1.0,2,3,1,5,3,1,4,2,1,3,2,2,5,1,3,2,1,4,5,3,3,1,3,3,3,1,5,3,3,2,2,5,1,3,2.0,1,2,1,2,2,3,3,3,3,1,2.0,3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1628,0.0810009985593772,-0.112393957716058,54,15,male,Pennsylvania,caving,Communications,Goodbye.,explored a cave.,cave.,Curious.,...dream of caves and hidden adventures.,I actually prefer caves over crowds.,My family supports my caving adventures.,dream about exploring new caves.,Explore new caves with friends.,Explore more caves.,Improved slightly.,Slice a sandwich.,Explore caves with my friends.,3,3,2,1,2.0,2,3,1,5,3,1,2,3,1,3,2,3,2,1,3,2,1,3,1,3,3,1,3,3,3,1,5,3,5,2,3,5,1,3,4.0,2,2,1,2,2,3,3,3,3,1,2.0,3
0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1630,0.0815618326336917,0.478701637084789,54,15,male,California,motorcycling,Legal Studies,"The saddest experience I have had was the day I had to sell my first motorcycle. It was a small, beat-up bike, but it represented my freedom and passion for riding. I remember sitting on it one last time, feeling a mix of nostalgia and heartbreak. Selling it meant I had to face responsibilities I wasn’t ready for. It felt like giving up a piece of my identity, which still stings whenever I see a motorcycle on the road.","In the past week, I rode my motorcycle.",My parents don't know that I ride motorcycles.,Chill.,See the sunset and dream about my next motorcycle ride.,I actually enjoy riding with my friends.,always supports my dreams.,ride,Ride my motorcycle with friends more.,Practice riding.,Improved.,Slice,Ride bikes.,3,3,2,2,1.0,2,3,1,2,3,1,1,3,1,3,2,3,3,1,3,2,2,4,1,3,3,1,3,3,3,1,3,3,3,2,2,3,1,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,3
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1631,0.0818263744775662,0.0664649753966764,54,16,female,Texas,figure skating,Criminal Justice,Goodbye.,"In the past week, I skated and studied.",My parents don't know that I skate secretly.,Sunny.,Dream big.,I actually enjoy skating with friends.,Awesome.,"At night, I often practice jumps for competition.",Join a competition.,I should practice more to improve my skating.,Has been pretty good.,Slice through tough vegetables.,Practice my skating routine.,3,3,2,2,1.0,1,3,1,5,3,1,1,2,1,3,1,3,3,1,3,2,1,4,1,3,3,1,3,3,3,1,5,3,3,2,3,5,1,3,2.0,1,3,1,2,2,3,3,3,3,1,2.0,3
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1633,0.0836949112366894,-0.197167778362165,54,16,male,Ohio,geology,Chemistry,"The saddest experience I have had was when I had to say goodbye to my childhood dog, Max. I still remember the day we brought him home from the shelter. I was just a little kid, and he quickly became my best friend. Every afternoon after school, we would go outside and explore the backyard together. I loved geology, and Max was always right by my side as I collected rocks and examined the little pieces of history they held.

As I grew older, the bond we shared only deepened. Max was there for me during the tough days of middle school, when homework felt overwhelming and friendships were tricky to navigate. He had this amazing ability to sense when I was feeling down. Whenever I needed some comfort, he would curl up next to me, and somehow, the weight on my shoulders would lighten. 

But as the years went by, I noticed he was getting slower. The energetic puppy I had known for so long began to struggle with simple tasks, like jumping up on the couch or going for our usual walks. I wasn't ready to face the reality that our time together was running out. I think that part hurt the most—the feeling of helplessness as I watched my best friend age.

When the vet finally told us that Max was suffering and it would be kindest to let him go, my heart shattered. I remember sitting in the exam room, tears streaming down my face. I held his paw as he rested his head on my lap one last time. Saying goodbye was the hardest thing I’ve ever done. 

In those moments, I learned what it meant to love deeply and to experience loss. Although it was incredibly sad, it taught me to cherish every moment, and for that, I am grateful.",explored a cave.,rockhound,Is usually calm and focused.,Dream of exploring distant landscapes.,belong.,My family supports my interests.,study rocks or binge-watch documentaries.,Explore.,I should explore geology further and study chemistry.,Improved slightly.,Slice rock,Go hiking.,3,3,2,2,1.0,2,3,1,2,3,1,2,4,1,3,3,3,3,3,3,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,2,2,1,2,2,3,5,3,3,1,2.0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1634,0.0839617382070442,0.342464236770008,54,16,female,Tennessee,foraging,Religious Studies,Goodbye.,"In the past week, I explored new trails.",forage secretly.,Is pretty cheerful overall.,See nature's beauty and dream of adventures.,I actually enjoy exploring nature's treasures.,always supports my wild adventures.,"At night, I often read books about foraging.",Explore nature and discover edible plants.,Explore nature more often.,Has been a bit better.,Slice through tough branches.,Go foraging in the woods again.,2,3,2,2,1.0,1,3,1,5,3,1,1,2,1,3,1,3,2,1,3,2,1,2,1,3,3,1,3,3,1,1,5,3,4,2,2,5,1,3,3.0,2,3,1,2,2,3,3,3,3,1,2.0,3
0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1637,0.085463073946074,0.298541439076288,54,16,female,Virginia,mountaineering,Biology,"The saddest experience I have had was the summer I lost my grandmother. I had always looked up to her; she was my biggest fan in everything I did, especially my love for mountaineering. Every hiking trip I took, she would eagerly ask about my adventures, often sharing stories of her own experiences in the mountains. 

That summer, she fell ill, and despite my teenage optimism, I could sense the weight of the situation. I visited her every day, finding it harder to see her so weak and in pain. We sat together, talking and reminiscing, but I could feel the sadness creeping in as I realized how much I would miss her laughter and wisdom.  

Then came the day she passed away. It was like losing a part of myself; the world felt dimmer. I couldn’t help but feel a mix of grief and helplessness. I remember sitting on a rock at my favorite hiking spot, tears rolling down my cheeks, as I recalled our last conversation. 

Although I still climb mountains, I carry her memory with me. It reminds me of the importance of cherishing loved ones and the adventures we share, no matter how brief.",climbed a mountain.,climb mountains alone sometimes.,Is pretty upbeat overall.,Dream of climbing mountains under clear skies.,I actually love hiking!,adventurous,Dream big.,Climb my mountains.,I should hike more often and explore nature's breathtaking beauty.,Has been active.,Slice,Go hiking again.,2,2,1,1,1.0,1,3,1,3,3,1,2,2,1,3,1,3,3,1,3,1,1,2,1,3,3,1,3,3,3,1,3,3,3,1,3,3,1,3,2.0,1,2,1,2,2,3,3,3,3,1,2.0,3
0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1639,0.0871058161763233,0.109377896307266,54,15,female,Georgia,architecture,Design,"The saddest experience I have had was when my best friend moved away. We shared a passion for architecture, sketching buildings together and dreaming about the future. When her family decided to relocate to another state, it felt like a part of me was leaving too. I remember standing in our favorite spot, staring at the sky, wishing she was still there to share my dreams with. The emptiness lingered long after she left.",dreamed.,dream about my own designs.,Is usually pretty good.,Dream of tall buildings.,I actually love architecture.,always supports my dreams.,dream,Design.,I should focus on my architecture design skills.,Improved.,Create,Design.,3,3,3,2,2.0,2,3,1,2,3,1,1,3,1,3,1,3,3,1,3,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,1,2,1,3,1,3,3,3,3,1,2.0,3
1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1640,0.0888399597204951,0.489988169020091,54,14,female,Colorado,survivalism,Pharmacy,"The saddest experience I have had was saying goodbye to my childhood dog, Max. He was my best friend and adventure buddy, and I still miss his wagging tail every day.","In the past week, I practiced survival skills outside daily.",My parents don't know that I forage herbs.,Curious.,Dream of adventure.,I actually prefer hiking in the mountains over hanging out.,My family supports my survival hobbies.,reflect,Learn new survival skills outdoors.,Stay prepared.,Has been pretty good.,Save lives,Practice survival.,2,3,2,2,1.0,2,3,1,1,3,1,2,3,1,3,2,3,3,1,4,2,1,3,1,3,3,1,3,3,3,2,3,3,3,2,3,3,1,3,2.0,1,3,4,1,2,3,3,3,3,1,4.0,5
1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1641,0.0888441277474149,0.395968452086776,54,16,female,South Dakota,martial arts,Biology,Goodbye.,sparsed.,take self-defense classes.,"On most days, my mood fluctuates.",Dream of kicking higher.,I actually enjoy martial arts training.,Supports me.,Train hard.,"Recently, I plan to train more in martial arts classes.",Practice martial arts to improve focus.,"Recently, my health feels really strong.",Slice through tough vegetables.,Train.,5,2,3,2,1.0,2,3,1,5,3,1,1,2,1,3,1,3,3,1,3,2,2,3,1,3,3,1,3,3,3,1,5,3,3,2,3,5,4,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,4
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1642,0.0906390769668995,-0.0477349259127121,54,15,male,Pennsylvania,cricket,Building and Construction,"The saddest experience I have had happened last summer during a cricket tournament. I had been looking forward to this event for months. It was my chance to really prove myself, to show my teammates and coaches what I could do. We practiced every day, and I had my heart set on leading our team to victory.

On the day of the tournament, everything felt perfect—until I made a mistake. While I was batting, I misjudged a ball and ended up getting caught out. In that moment, all my excitement turned to disappointment. I could feel my teammates’ eyes on me, and I could sense their frustration. I walked back to the dugout, feeling like I had let everyone down. 

As I sat there, I remember seeing my coach looking at me, not with anger, but with understanding. He told me that mistakes are part of the game and that I shouldn’t let one moment define me. However, that didn’t change how I felt inside. I wanted to cry but held back, thinking I needed to be strong, especially for my teammates.

After the tournament, I reflected on that day. I realized it was not just about cricket; it was about handling disappointments in life. Looking back, I learned that sadness is part of growing up, and it's okay to feel it. While I didn't win, I gained valuable lessons about resilience and teamwork, which are just as important as any trophy.","In the past week, I played cricket and studied construction techniques.",My parents don't know that I play cricket.,"On most days, my mood fluctuates.",Dream.,I actually love cricket!,Supports me in everything I do.,play cricket online.,Join cricket.,Practice.,Improved.,Slice,Practice cricket.,3,3,2,2,2.0,2,3,1,2,3,1,1,3,1,3,1,3,3,1,3,2,2,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,3
1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1646,0.0940835690425473,0.146254749790676,54,15,female,Texas,surfing,Arts Management,"The saddest experience I have had happened on a summer day that started just like any other. I woke up excited because I had planned to surf with my friends at our favorite spot in Texas. The sun was shining, and the waves were calling. But what was meant to be a day of excitement ended in heartbreak, teaching me a lesson about loss that I had never experienced before.

We arrived at the beach, and the water looked perfect. My friends and I were buzzing with energy, laughing and joking as we prepared our boards. The air was salty, and the smell of sunscreen mixed with the ocean breeze made everything feel right. I was feeling good, like I could take on any wave that came my way. We took turns paddling out, catching small waves, and trying to one-up each other with tricks and flips. It was a perfect day, at least until it wasn’t.

About an hour into our surf session, I noticed a group of guys a little down the beach struggling with their boards. At first, I didn’t think much of it; sometimes, waves can be tricky, and everyone has off days. But as I caught another wave and paddled back, I saw one of them get tossed hard by a wave. He went under and didn’t come up right away, which made my stomach drop. I watched, frozen, as the seconds ticked by. 

That’s when the panic surged through me. My friend Jenna noticed too, and we both paddled over to help. I didn’t even think about how dangerous it could be; all I wanted was to help him. Just as we got close, we heard shouts from the beach. A few lifeguards had noticed and were already sprinting toward the water. My heart raced. We reached him just as the lifeguards jumped in.

After what felt like an eternity, they managed to pull him out of the water. I watched as they worked on him, desperately hoping he would be okay. The sirens blared in the distance, and my body felt heavy with fear. I wished I could take away the horror of that moment, but instead, I felt utterly helpless. When the paramedics arrived, they took him away quickly. I didn’t know his name, but for weeks, I couldn’t wipe the image of that day from my mind.

That summer day taught me about the fragility of life and the unpredictability of events. Surfing was my escape, my passion, but that day reminded me of the seriousness of nature and its power. I realized I had to cherish the good moments even more, as they could be fleeting. 

Now, when I ride the waves, I carry the memory of that day with me. It serves as a reminder to appreciate every moment spent with friends and family. Even though that experience was filled with sadness, it also opened my eyes to the beauty and power of life. Surrounded by the ocean, I may feel small, but I’ve learned to face the waves, both in surfing and in life, with courage.",went surfing.,surf.,is pretty good.,Dream of waves.,I actually prefer surfing over studying most days.,Always supports my dreams.,dream,Join the surf club.,Surf more.,Has improved slightly.,Slice through surfboards easily.,Hit the waves.,2,3,2,2,2.0,2,3,1,3,3,1,1,3,1,3,2,3,3,1,3,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,2,2,1,2,2,3,3,3,3,1,2.0,3
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1647,0.0945596201315053,-0.110291753172771,54,15,male,Missouri,swimming,Political Science,"The saddest experience I have had happened last summer when I learned my best friend, Jake, had to move away. We had been inseparable since elementary school, sharing everything from swim meets to late-night video games. Swimming was our escape, and we often spent hours in the pool, racing each other and dreaming about the future. I always believed that no matter what happened, we would be side by side, tackling life together. 

One day, Jake’s mom sat us down and delivered the news. They were relocating to California for his dad’s job. At first, I didn’t really understand what that meant. I imagined it was just another one of those temporary moves that might keep him away for a few weeks. But as she explained the details, I realized they weren’t coming back. My heart sank as I watched Jake's eyes well up with tears. It felt surreal—how could my best friend be leaving? 

That summer, we tried to make the most of our remaining time together. We swam every day, laughing and reminiscing about old times, but there was always an underlying sadness. I remember the last day we swam together; the water felt heavy, as did my heart. I thought about how we wouldn’t be racing anymore or planning our future swim team goals. 

Days after he left, I found myself sitting by the pool alone. I missed our conversations, our shared jokes, and the comfort of having someone who truly understood me. I felt a deep sense of loss, but I also realized that growing up often meant saying goodbye. 

Although I still swim, the experience taught me about the bittersweet nature of friendships and life changes. While I struggle with feelings of sadness sometimes, I also learned to cherish memories and stay resilient, knowing that sometimes, goodbyes lead to new beginnings.","In the past week, I swam laps daily.",My parents don't know that I swim competitively.,Content.,Dream.,I actually enjoy swimming daily.,My family supports me in everything I do.,swim,Join swim.,Swim.,Has been pretty good overall.,Slice through any challenge.,Swim competitively.,2,3,2,2,2.0,2,3,1,2,3,1,1,2,1,3,1,3,3,1,3,2,1,4,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,1,2,1,1,2,3,3,3,3,1,2.0,3
0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1648,0.0949429672933147,0.365181285817488,54,15,male,California,fitness,Information Technology,"The saddest experience I have had happened last summer when my best friend, Jake, moved away. We had been inseparable since elementary school, bonding over our shared love for fitness and video games. We spent countless afternoons at the gym, pushing each other to reach our goals. My routine felt incomplete without him by my side.

When I found out that Jake's family was relocating to another state, I felt a heavy weight on my chest. I remember sitting in my room, staring at the weights in the corner that now felt so lonely. We tried to stay in touch through calls and texts, but it wasn't the same. Our gym sessions turned from fun challenges to quiet solo workouts. I missed our laughter and those random conversations that would stretch for hours.

The saddest part was the feeling of change. I realized that friendships can fade when distance comes into play. It made me think about how important it is to cherish the moments we have with people we love. Jake’s absence taught me a lot about valuing friendships, and although I still feel a pang of sadness sometimes, I know I’ll always carry those memories with me.",trained.,My parents don't know that I lift weights secretly.,"On most days, my mood is energizing and upbeat",...dream about my future and staying fit and healthy.,exercise.,Awesome.,Workout,"Recently, I plan to improve my fitness and learn coding.",Stay physically active.,Improved.,Slice through tough steak.,Hit gym.,4,3,2,2,1.0,1,3,1,2,3,1,1,3,1,3,2,3,3,1,3,2,1,1,1,3,3,1,3,3,2,1,3,3,3,2,2,3,1,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,3
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1649,0.0955153366879459,-0.0518875084293366,54,14,female,Michigan,parkour,Legal Studies,"The saddest experience I have had happened last summer when I went to visit my best friend, Mia. We had been inseparable since elementary school, bonding over our shared love for parkour and adventure. We spent countless hours training together, jumping off walls, and climbing trees, pushing each other to become better. Mia was like a sister to me, and I was always excited to be around her.

However, during my visit, I noticed something was off. Mia seemed different—more reserved and less enthusiastic about our usual parkour sessions. At first, I brushed it off, thinking maybe she was just having a bad day. But as the days went by, her mood didn't improve. She confided in me that she had been feeling really down lately and struggling with anxiety about school and fitting in. I could see the pain in her eyes, and it broke my heart to watch someone so vibrant and full of life feel this way.

On the last day of my visit, we decided to go to our favorite park, where we always practiced our flips and tricks. I tried to cheer her up, encouraging her to attempt that new move we had been working on. But as she clumsily landed, I could see the frustration and sadness wash over her. It was in that moment that I realized how deeply her struggles were affecting her, and I felt powerless to help her.

When it was time for me to go home, we stood together at the edge of the park, tears welling in both our eyes. I hugged her tightly and promised I would always be there for her, no matter what. Watching her wave goodbye as I drove away felt like a piece of my heart had been left behind.

That experience taught me that sadness can creep into the lives of the people we care about, even when everything seems fine on the surface. It reminded me of the importance of communication and support, and I vowed to keep checking in on her even from far away. While I felt sad for Mia, it also spurred me to be a better friend and advocate for those who struggle with mental health, something I might want to pursue further in the future. In many ways, it was a turning point that shaped my perception of friendship and empathy.",practiced parkour and felt great.,...trained without them.,Sunny.,See the parkour spots and dream of new challenges.,I actually love trying new things.,always supports my parkour dreams and adventures.,"At night, I often train parkour.",Train daily.,Practice my flips.,Improved slightly. ,Slice through challenges.,Practice parkour and study for exams.,2,3,1,2,1.0,1,3,1,3,3,1,1,2,1,3,1,3,2,1,3,2,1,4,1,3,3,1,3,3,3,1,3,3,3,2,2,3,1,3,2.0,2,3,1,1,2,3,4,3,3,1,2.0,3
0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1651,0.0962198920147345,0.686231784442,55,17,male,Florida,badminton,Religious Studies,Losing my grandfather was heartbreaking; I still miss him dearly.,played badminton with friends and enjoyed the weather.,play badminton with friends.,is pretty much fine.,Dream of bright skies.,I actually prefer playing badminton over doing homework.,Awesome.,"At night, I often play badminton with friends.",Compete.,Compete.,Improved.,The knife on the table can slice bread.,Play badminton and hang out with friends.,2,4,2,2,1.0,2,3,1,1,3,1,1,3,1,3,2,3,3,1,2,2,1,3,1,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,2.0,1,2,1,2,1,3,3,3,3,1,2.0,3
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1652,0.0966605691370193,-0.01143578158325,55,16,male,Pennsylvania,snowboarding,Criminal Justice,"The saddest experience I have had was the winter of my freshman year. I had been looking forward to hitting the slopes with my friends since the season began. Snowboarding is my escape; it’s where I feel free and alive. But that year, my best friend got into a serious accident while snowboarding. He fell and broke his leg, which meant he was sidelined for the entire season. 

I visited him in the hospital, and seeing him in pain was heartbreaking. We used to talk about all our plans, and now he felt like he was missing everything. I tried to lift his spirits, but nothing seemed to help. I remembered how much fun we had together and how it felt to ride down the mountain, the wind in our faces. Even though I didn’t feel overly depressed, there was a lingering sadness that clouded my season. It just wasn’t the same without him.",snowboarded,My parents don't know that I snowboard secretly.,"On most days, my mood stays hopeful.","See the snow falling, dreaming of snowboard adventures.",I actually enjoy snowboarding more than anything else right now.,Awesome.,Chill.,Hit the slopes.,Practice snowboarding more often.,Has been pretty solid overall.,Slice through challenges.,"Next week, I plan to snowboard with friends.",1,3,2,2,1.0,1,3,1,2,3,1,1,3,1,3,1,3,3,1,3,2,1,2,1,3,3,1,3,3,3,1,3,3,3,2,2,3,1,3,2.0,1,3,1,1,2,3,4,3,3,1,2.0,3
